ko,from,name,description,disease_category,drug_recommended
H01591,D11353,Gastrotintestinal stromal tumor,"Gastrointestinal stromal tumors (GISTs) are the most common mesenchymal tumors of the GI tract, arising from the interstitial cells of Cajal, or their precursor stem cells. GISTs account for about 80% of gastrointestinal sarcomas, with a mean annual incidence of 10-15 per million. Nearly 50-70% of the clinically apparent tumors arise in the stomach, 20-30% arise in the small intestine, 5-15% in the large intestine, and less than 5% in other locations. The genetic basis of GIST growth is a mutation of the KIT or PDGFRA gene leading to constitutional activation of receptor tyrosine kinases, which is the driving force behind tumor development.",Cancer,Ripretinib
H01585,D00473,Autoimmune hemolytic anemia,"Autoimmune hemolytic anemia (AIHA) is a relatively uncommon disorder caused by the increased destruction of red blood cells (RBCs) by anti-RBC autoantibodies with or without complement activation. AIHAs can be distinguished on the basis of the autoantibody Ig class and thermal characteristics, i.e. the optimal temperature of reaction with autologous erythrocytes, in warm (wAIHA), cold (cold agglutinin disease; CAD), and mixed forms, although atypical cases of difficult diagnostic classification are reported with increasing frequency. Moreover, AIHAs are classified in primary (idiopathic), in which hemolysis dominates the clinical picture in the absence of any other coexisting disorder, and in secondary forms, accompanying and complicating an underlying disease. AIHA may develop gradually, or have a fulminant onset with life-threatening anemia. The diagnosis is usually simple, based on the presence of hemolytic anemia and serological evidence of anti-erythrocyte antibodies, detectable by the direct antiglobulin test (DAT).",Hematologic disease; Immune system disease,Prednisone
H01440,D00307,Acute necrotizing ulcerative gingivitis,"Acute necrotizing ulcerative gingivitis, also known as Trench mouth, Vincent angina and Vincent gingivitis is an acute bacterial infection of the gingiva caused by spirochetes, fusiform bacteria, or an overgrowth of normal oral flora. Predisposing factors include poor oral hygiene, advancing age, impaired nutritional status, smoking or chewing tobacco, immunosuppression, preexisting gingivitis, extreme stress, or lack of sleep. If the symptom progresses, the periodontium may be destroyed. Possible systemic manifestations include fever, anorexia, weakness, and fatigue.",Infectious disease,Doxycycline
H01635,D08890,Hyperlipidemia,"Dyslipidemia is a condition characterized by either an increase or decrease in concentration of lipids in the blood. Hyperlipidemia, which refers to an increase in cholesterol, triglyceride (TG), or both, is the most common form of dyslipidemia. Hyperlipidemias can be classified as familial (also called primary) caused by an inherited gene mutation, or acquired (also called secondary) when resulting from underlying disorders that lead to alterations in plasma lipid and lipoprotein metabolism. The causes of acquired hyperlipidemia include dietary, alcohol intake, oral contraceptives, diabetes mellitus, and pharmacological agents (e.g., retinoic acid derivatives, steroids, and beta-blockers). Familial hyperlipidemias are classified according to the Fredrickson classification (hyperlipoproteinemia types I to V) which is based on lipoprotein analyses by electrophoresis or ultracentrifugation. It was later adopted by the World Health Organization (WHO). Hyperlipidemias are also classified according to which types of lipids are elevated. Hypercholesterolemia, hypertriglyceridemia, and combined hyperlipidemia refer to elevations involving the major cholesterol-rich lipoproteins (LDL), triglyceride-rich lipoproteins (VLDL), and both, respectively.",Metabolic disease,Choline fenofibrate
H01318,D02122,Yaws,"Treponemal infections occurring in humans comprise venereal syphilis and the non-venereal endemic treponematoses. The non-venereal endemic treponematoses are yaws, pinta, and endemic syphilis. Yaws is a chronic, relapsing disease predominantly affecting children living in certain tropical regions. Clinical manifestations of yaws are divided into various stages. Early stage skin lesions are infectious and can persist for weeks or months. Involvement of the bones of the upper and lower limbs and the fingers and toes can cause pain and digital swelling. After the early stage lesions subside due to the host immune response, the patient enters a latent stage that can be lifelong.",Infectious disease,Tetracycline hydrochloride
H00045,D04666,Pancreatic neuroendocrine tumor,"Pancreatic neuroendocrine tumors (PNETs), also known as islet cell tumors, are rare neoplasms that arise in the endocrine tissues of the pancreas. They may occur sporadically or in association with a genetic syndrome, such as multiple endocrine neoplasia type 1 (MEN1), Von Hippel-Landau (VHL) syndrome, neurofibromatosis type 1, or tuberous sclerosis. The most frequent genetic alterations in PNET occur in MEN1 (Multiple Endocrine Neoplasia-1 Gene), DAXX/ATRX (Death-Domain Associated Protein/Mental Retardation Syndrome X-Linked Genes) and the mTOR pathway (Mammalian Target of Rapamycin). A germline mutation in the MEN1 tumor suppressor gene causes MEN1, the above-mentioned autosomal dominant hereditary syndrome. Mutations of DAXX and ATRX are common and related to altered telomeres but not to prognosis.",Cancer,Lanreotide acetate
H00328,D00290,Anthrax,"Anthrax is a zoonotic infectious disease caused by Bacillus anthracis, a Gram-positive, spore-forming bacterium belonging to the Bacillus cereus group of pathogenic Bacillus, which also includes a food poisoning bacterium Bacillus cereus [DS:H00329] and an insect pathogen Bacillus thuringiensis [DS:H01399]. Human infections can occur from infected animals or animal products through three main routes: skin (cutaneous), lung (inhalation) and mouth (gastrointestinal). The disease is rare, but the potential threat of anthrax spores in bioterrorism is widely recognized.",Infectious disease,Demeclocycline hydrochloride
H00019,D00491,Pancreatic cancer,"Infiltrating ductal adenocarcinoma is the most common malignancy of the pancreas. When most investigators use the term 'pancreatic cancer' they are referring to pancreatic ductal adenocarcinoma (PDA). Normal duct epithelium progresses to infiltrating cancer through a series of histologically defined precursors (PanINs). The overexpression of HER-2/neu and activating point mutations in the K-ras gene occur early, inactivation of the p16 gene at an intermediate stage, and the inactivation of p53, SMAD4, and BRCA2 occur relatively late. Activated K-ras engages multiple effector pathways. Although EGF receptors are conventionally regarded as upstream activators of RAS proteins, they can also act as RAS signal transducers via RAS-induced autocrine activation of the EGFR family ligands. Moreover, PDA shows extensive genomic instability and aneuploidy. Telomere attrition and mutations in p53 and BRCA2 are likely to contribute to these phenotypes. Inactivation of the SMAD4 tumour suppressor gene leads to loss of the inhibitory influence of the transforming growth factor-beta signalling pathway.",Cancer,Paclitaxel
H01358,D05480,Atopic dermatitis,"Atopic dermatitis (AD) is a relapsing chronic inflammatory skin disease characterized by eczematous skin lesions and intense pruritus. A genetic defect in the filaggrin (FLG) protein and/or environmental factors are thought to cause AD by disrupting the epidermis. This disruption, in turn, results in contact between immune cells in the dermis and antigens from the external environment leading to intense itching, scratching, and inflammation. Apart from FLG, recent genome-wide association studies (GWASs) have identified many susceptibility loci of atopic dermatitis with genome-wide significance.",Immune system disease,Pimecrolimus
H01490,D00146,Multiple sclerosis,"Multiple Sclerosis (MS) is a chronic disease of the central nervous system (CNS) characterized by inflammation, demyelination and axonal loss. This disease typically strikes young adults, especially women. There are four types of MS according to their relapsing or progressive pattern that include relapsing-remitting (RRMS), secondary progressive (SPMS), primary progressive (PPMS), and progressive relapsing (PRMS). In most patients, the disease has a relapsing-remitting course during the first years. Within 10 years, approximately 50% of patients progress to SPMS. The aetiology of MS is not well understood, but it is likely multifactorial, combining both genetic and environmental factors. Recently, the literature on the risk factors for MS has grown substantially. They indicate that a combination of a genetic predisposition, exposure to Epstein-Barr virus, cigarette smoking, and reduced sunlight exposure/vitamin D levels is involved. Authorized first-line treatments are considered equally effective, and include interferon beta and glatiramer acetate. They are primarily directed against inflammation, and might fail to adequately control disease activity in some patients. In that case, it has been recommended to switch these patients early to a therapy of higher efficacy. Currently, 13 different drugs with ten different active components are licensed in the European Union (EU) and the United States (US) for the treatment of MS.",Nervous system disease,Corticotropin
H00612,D00378,Primary open angle glaucoma,"Primary open angle glaucoma (POAG) is the most prevalent form of glaucoma, and a major cause of irreversible blindness. POAG is often accompanied by ocular hypertension and characterized by progressive loss of retinal ganglion cells, atrophy of the optic nerve, and visual field loss. To date, at least 20 genetic loci for POAG have been reported. And four causative genes (CYP1B1, MYOC, OPTN, and WDR36) are identified from these loci. In addition, recently, heterozygous NTF4 mutation was associated with the phenotype in a small percentage of patients.",Nervous system disease,Timolol
H00364,D00322,Cryptococcosis,"Cryptococcus is a pathogenic yeast that causes opportunistic infection, especially in the immunocompromised patient. It mainly infects the central nervous system and causes meningitis. Cryptococcal lung disease is also an important clinical outcome, leading to severe pneumonia with respiratory failure.",Infectious disease,Fluconazole
H01593,D03684,Osteoporosis,"Osteoporosis is a common disease characterised by a generalised reduction in bone mineral density (BMD), microarchitectural deterioration of bone tissue and an increased risk of fracture. Since BMD values fall progressively with age, the prevalence of osteoporosis increases with age. It has been estimated that approximately 50% of all women will have osteoporosis by the age of 80. Studies in twins and families indicate that genetic factors play an important role in the regulation of BMD and other determinants of osteoporotic fracture risk. Osteoporosis is a polygenic disorder, determined by the effects of several genes, each with relatively modest effects. Population-based studies and case-control studies have similarly identified polymorphisms in several candidate genes that have been associated with bone mass or osteoporotic fracture, including the vitamin D receptor, oestrogen receptor and collagen gene. Bisphosphonates, and in some patients denosumab, are first-line drugs for osteoporosis.",Musculoskeletal disease,Denosumab
H01633,D03769,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Enalaprilat
H00014,D10176,Non-small cell lung cancer,"Lung cancer is a leading cause of cancer death among men and women in industrialized countries. Non-small-cell lung cancer (NSCLC) accounts for approximately 85% of lung cancer and represents a heterogeneous group of cancers, consisting mainly of squamous cell (SCC), adeno (AC) and large-cell carcinoma. Molecular mechanisms altered in NSCLC include activation of oncogenes, such as K-RAS, EGFR and EML4-ALK, and inactivation of tumorsuppressor genes, such as p53, p16INK4a, RAR-beta, and RASSF1. Point mutations within the K-RAS gene inactivate GTPase activity and the p21-RAS protein continuously transmits growth signals to the nucleus. Mutations or overexpression of EGFR leads to a proliferative advantage. EML4-ALK fusion leads to constitutive ALK activation, which causes cell proliferation, invasion, and inhibition of apoptosis. Inactivating mutation of p53 can lead to more rapid proliferation and reduced apoptosis. The protein encoded by the p16INK4a inhibits formation of CDK-cyclin-D complexes by competitive binding of CDK4 and CDK6. Loss of p16INK4a expression is a common feature of NSCLC. RAR-beta is a nuclear receptor that bears vitamin-A-dependent transcriptional activity. RASSF1A is able to form heterodimers with Nore-1, an RAS effector. Therefore loss of RASSF1A might shift the balance of RAS activity towards a growth-promoting effect.",Cancer,Trametinib dimethyl sulfoxide
H01586,D00981,Acquired pure red cell aplasia,"Pure red cell aplasia (PRCA) is a rare condition characterised by selective inhibition and the absence of red cell precursors in the bone marrow with consequent anaemia and reticulocytopenia in the presence of normal granulocytic and megakaryocytic lineages. RPCA can be classified into congenital and acquired. Congenital PRCA is also known as Diamond-Blackfan anemia [DS:H00237] and is a disease of infancy and early childhood. The aetiology of acquired PRCA can be subclassified into primary and secondary. Primary PRCA is defined when no aetiology can be identified using available investigations. The causes of secondary PRCA are again diverse and can be due to infections (viral, bacterial, etc.), drugs (erythropoietin, carbamazepine, etc.), collagen vascular disorders (rheumatoid arthritis, systemic lupus erythematosus, etc.), malignancies (e.g. thymoma), ABO-incompatible haematopoietic stem cell transplantation, and pregnancy. Depending on the cause, the course can be acute and self-limiting or chronic with rare spontaneous remissions. PRCA can be easily diagnosed when isolated anaemia, in the presence of normal white cell and platelet counts, is associated with a marrow of normal cellularity in which there is an almost complete absence of erythroblasts but normal myeloid cells and megakaryocytes. Primary, or secondary PRCA not responding to treatment of the underlying diseases, is treated as an immunologically-mediated disease. The therapeutic plan usually focuses on the sequential use of various immunosuppressive therapies until a remission is obtained.",Hematologic disease; Immune system disease,Prednisolone sodium phosphate
H01633,D00349,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Isradipine
H01608,D10012,Cervical dystonia,"Cervical dystonia (CD), formerly referred to as spasmodic torticollis, is a condition characterized by simultaneous and sustained contractions of both agonist and antagonist muscles of the neck, which frequently result in abnormal movements or postures. CD is considered a form of primary adult-onset focal dystonia. The majority of patients complain of pain, which is not a common feature of other focal dystonias. Head rotation is common, but head tilt, neck extension, and flexionmay also occur, often in combination. The pathogenesis of primary CD is unclear. Patients with secondary CD may have an abnormal birth or developmental history, exposure to drugs known to cause dystonia (tardive dystonia), or neurological illness. Intramuscular injections of botulinum toxin (BoNT), have been shown to be efficacious and well tolerated when used to treat CD, and are therefore recommended as first-line therapy by current treatment guidelines.",Nervous system disease,Incobotulinumtoxin A
H02420,D02115,Head and neck cancer,"Head and neck cancers are a heterogeneous collection of malignancies of the upper aerodigestive tract, salivary glands and thyroid. The most common type of cancer in the head and neck is squamous cell carcinoma. It mainly originates from the mucosal space, which extends from the skull base to the proximal esophagus. The head and neck region is subdivided in the oral cavity, pharynx and larynx. The pharyngeal space contains the nasopharynx, oropharynx and hypopharynx and includes the tonsils, the floor of the mouth and the soft palate. Although head and neck squamous cell carcinoma (HNSCC) is traditionally associated with smoking and alcohol drinking, a growing proportion of head and neck tumors, mainly of the oropharynx, are associated with human papilloma virus (HPV).",Cancer,Methotrexate sodium
H01633,D10281,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Moexipril hydrochloride and hydrochlorothiazide
H00409,D10266,Type 2 diabetes mellitus,"Type 2 diabetes mellitus (T2DM) is characterized by chronic hyperglycemia due to insulin resistance of peripheral tissues (skeletal muscle, liver, adipose tissue) and insufficient compensatory insulin secretion by pancreatic beta cells. Both insulin resistance and beta cell dysfunction are thought to result from the complex interplay of many different pathways under the combined control of environmental and genetic factors. It is accepted that T2DM results from population aging and adverse environmental factors of the modern world which favor the development of obesity.",Metabolic disease; Endocrine disease,Glyburide and metformin hydrochloride
H00282,D02934,Cryopyrin associated periodic syndrome,"Cryopyrin associated periodic syndrome (CAPS) all arise from a missense mutation in the CIAS1 gene that encodes NALP3. These are autosomal dominant inherited disease characterized by recurrent inflammatory episodes. The pathogenic mechanism of these syndromes is attributed to increased activation of the NALP3 inflammasome, resulting in aberrantly high production of IL-1beta.",Immune system disease,Anakinra
H01633,D11585,High blood pressure,"High blood pressure (hypertension) is the most frequent classic cardiovascular risk factor and accounts for a large proportion of cardiovascular mortality, the main cause of death worldwide. Hypertension is generally classified as primary (essential) or secondary. Essential hypertension (EH) is the most common diagnosis in this disease, suggesting that a monocausal etiology has not been identified. However, a number of risk factors associated with EH have also been identified such as age, sex, demographic, environmental, genetic, and vascular factors. Secondary hypertension generally has an earlier age at onset, no family history, and a clear cause such as a renal or endocrine disorder, or an iatrogenic trigger, such as use of oral contraceptives. Blood pressure is a heritable trait; an estimated 30% of variance in blood pressure relates to genetic factors. Understanding of the genetic architecture of traits has progressed in rare mendelian hypertensive phenotypes, such as Gordon's syndrome.",Cardiovascular disease,Terazosin hydrochloride anhydrous
H01646,D02260,Major depressive disorder,"Major depressive disorder (MDD) is the most common psychiatric disorder mainly characterized by depressed mood, loss of interest, feelings of worthlessness, and a high risk of suicide. Accumulated evidence suggests that both environmental and genetic factors are involved in the etiology of MDD although the pathogenesis of MDD remains unknown. Mutations in genes involved in brain serotonin synthesis, have been identified in patients. Brain serotonin deficiency has been hypothesized to play a role in a wide range of psychiatric diseases, including MDD. Several efficacious treatments for MDD are available, including different forms of psychotherapy and antidepressant medication. Recently, selective reuptake inhibitors (SSRIs, SNRIs,) have become the first-line antidepressant drug treatment of depression and replaced tricyclic antidepressants (TCA) and monoamine oxidase inhibitors (MAOI) due to fewer side-effects and ease of use.",Mental and behavioural disorder,Paroxetine hydrochloride hemihydrate
H01695,D00983,Erythema multiforme,"Erythema multiforme (EM) is an immune-mediated, mucocutaneous condition characterized by 'target' lesions. Classically, EM has been separated into 2 subgroups, EM minor and EM major. In EM minor, lesions often present as papules, which might enlarge and eventually form the typical target lesion with erythema surrounding an area of central clearing. The rash in EM minor preferentially affects the limbs, specifically the extensor surfaces, however, it can also be seen throughout the body, excluding mucous membranes. EM major has mucous membrane involvement. The oral mucosa is most commonly affected, initially with edema that progresses to superficial erosions. Other surfaces that might be involved include the anogenital, ocular, and nasal mucosa. Although previously thought to be on a similar continuum of EM, and histologically appearing the same, Stevens-Johnson syndrome (SJS) is increasingly being considered a separate disease process. It is currently believed that EM is a result of an immune reaction to an inciting infectious or pharmacologic antigen. The most common infectious organisms in EM are herpes simplex virus types 1 and 2, as well as Mycoplasma pneumonia. The first line of treatment for EM is removal of the inciting factor when possible. Systemic steroids have been suggested as adjuvant therapy based on their immunosuppressant effects. To date, their use has been limited to EM major, as EM minor is self-limited.",Skin and connective tissue disease,Triamcinolone acetonide
H00315,D07640,Gonococcal infection,Gonorrhea is an ancient disease caused by the strict human pathogen Neisseria gonorrhoeae. It remains a major public health concern and multidrug-resistant forms of gonorrhea have been discovered.,Infectious disease,Cefixime
H00366,D06284,Varicella,"Varicella-zoster virus (VZV), also known as human herpes virus 3 (HHV-3), is a human pathogen of the Herpesviridae family that has a double-stranded linear DNA genome. Primary infection usually causes varicella (chickenpox) in children, after which the virus establishes latency in sensory neurons. Subsequent reactivation causes herpes zoster (shingles) in adults.",Infectious disease,Varicella-zoster immune globulin
H00339,D05408,Botulism,"Botulism is an acute neuroparalytic illness caused by a botulinum toxin produced by Clostridium botulinum, an anaerobic, gram-positive bacterium. Botulism occurs in four forms: foodborne, wound, infant botulism, and adult intestinal toxemia. Botulinum toxin blocks acetylcholine release in a dose-dependent fashion, resulting in symmetrical, descending, and progressive muscle weakness. Delay in treatment may allow progression of paralysis.",Infectious disease,Penicillin G sodium
H00409,D06404,Type 2 diabetes mellitus,"Type 2 diabetes mellitus (T2DM) is characterized by chronic hyperglycemia due to insulin resistance of peripheral tissues (skeletal muscle, liver, adipose tissue) and insufficient compensatory insulin secretion by pancreatic beta cells. Both insulin resistance and beta cell dysfunction are thought to result from the complex interplay of many different pathways under the combined control of environmental and genetic factors. It is accepted that T2DM results from population aging and adverse environmental factors of the modern world which favor the development of obesity.",Metabolic disease; Endocrine disease,Liraglutide
H02434,D11601,"Diffuse large B-cell lymphoma, not otherwise specified","Diffuse large B-cell lymphoma, not otherwise specified (DLBCL, NOS) is the most common type of DLBCL. DLBCL accounts for 30-40% of all non-Hodgkin lymphomas (NHL), making it the most prevalent form of NHL. DLBCL can occur as primary disease or through histologic transformation from other low-grade B-cell lymphoma, and is a clinically and genetically heterogeneous disease. The cell-of-origin (COO) determination based on gene expression profiling (GEP) subdivides most DLBCL, NOS patients into two main categories, namely germinal center B-cell-like (GCB) and activated B-cell-like (ABC) DLBCL. GCB subtype is characterized by frequent mutations in involved histone methylation or acetylation (EZH2, EP300), B-cell homing (GNA13, GNAI2), PI3K pathway signalling (PTEN), and apoptotic pathway (BCL2). In contrast, ABC subtype is driven by frequent mutations in the B cell receptor and NFKB pathways (CARD11, CD79a/CD79b, TNFAIP3 and MYD88).",Cancer,Tafasitamab
H01328,D00981,Aspergillosis,"Pulmonary aspergillus infections can be classified based on clinical syndromes into saprophytic infections, allergic disease and invasive disease. Invasive pulmonary aspergillosis, occurring in immunocompromised patients, reflects the most serious disease with a high case-fatality rate. Of the 185 recognized species of Aspergillus, 20 are known to cause infections in humans. Aspergillus fumigatus accounts for about 65 percent of all invasive infections in humans and is the mostly encountered species in pulmonary infections. Aspergillus flavus, Aspergillus niger, Aspergillus terreus and Aspergillus nidulans are less frequently causes of invasive and pulmonary infections.",Infectious disease,Prednisolone sodium phosphate
H01563,D09958,HIV infection,"The human immunodeficiency virus (HIV) is a lentivirus (a subgroup of retrovirus) that causes HIV infection and over time acquired immunodeficiency syndrome (AIDS). Two types of HIV has been characterized. HIV-1 is the most virulent and pathogenic strain. Worldwide, the predominant virus is HIV-1. The relatively uncommon HIV-2 type is concentrated in West Africa and is rarely found elsewhere. Infection with HIV occurs by transfer of blood, semen, and breast milk. The identification of HIV as the causative agent of AIDS catalyzed efforts to develop antiviral agents. The licenced anti-HIV drugs fall into some categories: reverse transcriptase inhibitors (NRTIs and NNRTIs), integrase inhibitors, protease inhibitors (PIs), fusion inhibitors (FIs), and coreceptor inhibitors. The advent of highly active antiretroviral therapy (HAART) as the standard of care for the treatment of HIV infection was seminal in reducing the morbidity and mortality associated with HIV infection and progression to AIDS. Combination antiretroviral therapy dramatically suppresses HIV replication and reduces the plasma HIV-1 viral load, resulting in significant reconstitution of the immune system.",Infectious disease,Rilpivirine hydrochloride
H00032,D10176,Thyroid cancer,"Thyroid cancer is the most common endocrine malignancy and accounts for the majority of endocrine cancer- related deaths each year. More than 95% of thyroid carcinomas are derived from follicular cells. Their behavior varies from the indolent growing, well-differentiated papillary and follicular carcinomas (PTC and FTC, respectively) to the extremely aggressive undifferentiated carcinoma (UC). Somatic rearrangements of RET and TRK are almost exclusively found in PTC and may be found in early stages. The most distinctive molecular features of FTC are the prominence of aneuploidy and the high prevalence of RAS mutations and PAX8-PPAR{gamma} rearrangements. p53 seems to play a crucial role in the dedifferentiation process of thyroid carcinoma.",Cancer,Trametinib dimethyl sulfoxide
H00320,D00724,Helicobacter pylori infection,"Helicobacter pylori (HP) is a gram-negative pathogenic bacterium that specifically colonizes in the gastric epithelium and causes chronic gastritis, peptic ulcer disease, and/or gastric malignancies. Persistent infection can cause inflammation and gastritis that may lead to carcinogenesis. Transmission is still not entirely clarified, but human-to-human spread through oral-oral or fecal-oral route is thought to be the most plausible. The prevalence of HP infection varies between different geographical regions; generally, the prevalence is about 30% in developed and up to 80% in developing countries. Although HP may sometimes be eradicated by antibiotics given for other infections, infection usually persists life-long unless specific combination antibiotic therapy is taken.",Infectious disease,Rabeprazole sodium
H00011,D04489,Lymphoplasmacytic lymphoma,"Lymphoplasmacytic lymphoma (LPL)/Waldenstrom's macroglobulinemia (WM) is a non-Hodgkin lymphoma (NHL) subtype characterized by small B-lymphocytes, plasmacytoid lymphocytes, and plasma cells, usually involving bone marrow, lymph nodes, and the spleen. WM can be distinguished clinically from LPL on the basis of a detectable monoclonal (IgM) immunoglobulin spike in serum. In the general population, LPL/WM is a very rare disease, accounting for only 1%-2% of all hematologic malignancies, reflected in an incidence rate of 3-4 cases per million people per year. The t(9;14)(p13;q32) is present in near 50% of cases of LPL. This chromosomal translocation involves a junction between 9p13 and the switch micro region of the Ig heavy chain locus on 14q32. The 9p13 breakpoint contains the PAX-5 gene which encodes a B-cell specific transcription factor involved in the control of B-cell proliferation and differentiation. The translocation causes the juxtaposition of the PAX-5 gene to the IgH locus in the opposite direction of transcription, resulting in an 11-fold over-expression of PAX-5 mRNA.",Cancer,Ibritumomab tiuxetan
H00187,D05868,Ornithine transcarbamylase deficiency,"Ornithine transcarbamylase deficiency, the most common urea cycle defect, results in failure to thrive, hypotonia, seizures and mental retardation.",Inherited metabolic disease; Nervous system disease,Sodium phenylbutyrate
H00008,D00287,Burkitt lymphoma,"Burkitt lymphoma (BL) is a highly aggressive mature B-cell non-Hodgkin's lymphoma consisting of endemic, sporadic, and immunodeficiency-associated variants. Endemic BL (eBL) affects children and young adults in Africa and some other geographical areas and carries Epstein-Barr virus (EBV) in more than 95% of cases. In contrast, sporadic BL (sBL) among adolescents in Europe and North America are mostly EBV-negative. A third type of BL is associated with HIV-infection in adults. All of these subtypes possess chromosomal rearrangements of the c-myc oncogene, the genetic hallmark of BL that contributes to lymphomagenesis through alterations in cell cycle regulation, cellular differentiation, apoptosis, cellular adhesion, and metabolism. Many BL carry point mutation in the p53 tumor suppressor gene or other defects in the p14ARF-MDM2-p53 pathway, and inactivation of the p16INK4a gene by promoter methylation or homozygous deletion. This indicates that disruption of both the pRb and p53 tumor suppressor pathways is critical for BL development.",Cancer,Cyclophosphamide
H00365,D00317,Herpes simplex virus infection,"Herpes simplex virus infection is caused by Herpes simplex virus type 1 (HSV-1) and Herpes simplex virus type 2 (HSV-2), Simplex viruses in the order Herpesvirales of dsDNA viruses. Humans are the only natural host and reservoir for the HSV virus. HSV are human neurotropic viruses that establish latent infection in dorsal root ganglia (DRG) for the entire life of the host. HSV infects the human host via mucosal surfaces or damaged skin, and most primary infections are asymptomatic. HSV-1 is mainly associated with orofacial lesions, yet it is also the cause of infectious blindness and viral encephalitis in adults. HSV-2 is mainly associated with genital lesions and neonatal encephalitis.",Infectious disease,Famciclovir
H00333,D01990,Streptococcal infection,"Streptococci are gram-positive bacteria. Among the beta-hemolytic streptococci, Streptococcus pyogenes (Group A streptococci, GAS) and Streptococcus agalactiae (Group B streptococci, GBS) are major human pathogens. GAS causes over 600 million cases of infections each year, ranging from mild pharyngitis to severe streptococcal toxic shock-like syndrome (STSS), and GBS causes neonatal invasive infections including sepsis, pneumonia, and meningitis.",Infectious disease,Clindamycin palmitate hydrochloride
H00334,D02009,Bacterial endocarditis,"Infective endocarditis is a microbial infection of the endocardial surface of the heart. The characteristic lesion, a vegetation, is composed of a collection of platelets, fibrin, microorganisms, and inflammatory cells. It most commonly involves heart valves but may also occur at the site of a septal defect, on the chordae tendineae, or on the mural endocardium. Staphylococci and streptococci account for 80% of cases of infective endocarditis, with staphylococci currently the most common pathogens. Cerebral complications are the most frequent and most severe extracardiac complications.",Infectious disease,Erythromycin lactobionate
H02423,D00360,Phthiriasis,"Phthiriasis is the result of infestation by Phthirus pubis (crab louse), sucking lice belonging to the family Pthiridae. Phthirus pubis is transmitted mainly by sexual contact, but it also may be transmitted by clothing or from parents to children.",Infectious disease,Lindane
H00019,D01061,Pancreatic cancer,"Infiltrating ductal adenocarcinoma is the most common malignancy of the pancreas. When most investigators use the term 'pancreatic cancer' they are referring to pancreatic ductal adenocarcinoma (PDA). Normal duct epithelium progresses to infiltrating cancer through a series of histologically defined precursors (PanINs). The overexpression of HER-2/neu and activating point mutations in the K-ras gene occur early, inactivation of the p16 gene at an intermediate stage, and the inactivation of p53, SMAD4, and BRCA2 occur relatively late. Activated K-ras engages multiple effector pathways. Although EGF receptors are conventionally regarded as upstream activators of RAS proteins, they can also act as RAS signal transducers via RAS-induced autocrine activation of the EGFR family ligands. Moreover, PDA shows extensive genomic instability and aneuploidy. Telomere attrition and mutations in p53 and BRCA2 are likely to contribute to these phenotypes. Inactivation of the SMAD4 tumour suppressor gene leads to loss of the inhibitory influence of the transforming growth factor-beta signalling pathway.",Cancer,Irinotecan hydrochloride
